License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Zip Code,Square Footage,Retail_Address
730640,Store,JAC,ALEXANDER'S 145 DELI CORP,ALEXANDER'S 145 DELI,561,WEST 145TH STREET,10031,0,561 WEST 145TH STREET
705296,Store,JAC,ALEX GOURMET DELI INC,ALEX GOURMET DELI,741,ST NICHOLAS AVE,10031,1800,741 ST NICHOLAS AVE
730231,Store,A,ALGANAD INC,ALGANAD GROCERY STORE,160,ORCHARD STREET,10002,1800,160 ORCHARD STREET
715636,Store,JAC,ALI 2023 DELI & GROCERY LLC,ALI 2023 DELI & GROCERY,2023,SEVENTH AVE,10027,2000,2023 SEVENTH AVE
712266,Store,JAC,ALI BABA ORGANIC INC,ALI BABA ORGANIC MARKET,1,MOTT ST,10013,22000,1 MOTT ST
629453,Store,JAC,ALKUTEENI YOSEF,ALKUTEENI DELI,4500,BROADWAY,10040,2000,4500 BROADWAY
728648,Store,JAC,ALLEGRO COFFEE COMPANY,ALLEGRO COFFEE,95,E HOUSTON STREET (INSID,10002,1800,95 E HOUSTON STREET
629393,Store,JAC,ALLEVA DAIRY INC,ALLEVA DAIRY,188,GRAND ST,10013,3500,188 GRAND ST
704936,Store,JAC,ALL FRESH GROCERY & DELI CORP,ALL FRESH GROCERY & DEL,334,E 106TH ST,10029,0,334 E 106TH ST
731912,Store,JAC,ALPHABET GOURMET DELI CORP,ALPHABET GOURMET DELI,301,E 4TH ST,10009,1000,301 E 4TH ST
714198,Store,JAC,ALPHA DELI 1 INC,ALPHA DELI,441,LENOX AVE,10037,1800,441 LENOX AVE
627443,Store,A,ALPHAYA 99 CENT STORE PLUS CORP,ALPHAYA 99,1405,AMSTERDAM AVE,10027,2500,1405 AMSTERDAM AVE
732284,Store,JAC,ALPINE GROUP USA INC,ALPINE GROUP USA,256,MANHATTAN AVE,10026,800,256 MANHATTAN AVE
715008,Store,JAC,MERCEDES HOUSE MARKET CORP,AL VORA,550,W 54TH ST,10019,0,550 W 54TH ST
627860,Store,JAC,ALZYADI DELI CORP,ALZYADI DELI,2175,SEVENTH AVE,10027,3000,2175 SEVENTH AVE
625277,Store,JAC,A MATTER OF HEALTH INC,A MATTER OF HEALTH,1478,1ST AVE,10075,0,1478 1ST AVE
706802,Store,JAC,A MATTER OF HEALTH NYC INC,A MATTER OF HEALTH NYC,1347,1ST AVE,10021,8900,1347 1ST AVE
629514,Store,JAC,AMEER FOOD CORP,AMEER FOOD,748,ST NICHOLAS AVE,10031,2000,748 ST NICHOLAS AVE
729313,Store,A,AMERICAN DISCOUNT INC,AMERICAN DISCOUNT,2067,AMSTERDAM AVE,10032,0,2067 AMSTERDAM AVE
708978,Store,JAC,AMERICAS FINEST DELI CORP,AMERICAS FINEST DELI,46,TRINITY PL,10006,1500,46 TRINITY PL
626165,Store,JAC,HASSAN ABDO M,AMH GROCERY DELI,880,AMSTERDAM AVE,10025,1200,880 AMSTERDAM AVE
628526,Store,A,AMIGO MINI MART INC,AMIGO MINI MART,118,DELANCEY ST,10002,1000,118 DELANCEY ST
620681,Store,JAC,AMISH MANHATTAN FARMERS MKT INC,AMISH MARKET,731,9TH AVE,10019,20000,731 9TH AVE
706352,Store,JAC,ERNST KLEIN 6TH AVE FOODS INC,AMISH MARKET,53,PARK PL,10007,7000,53 PARK PL
623096,Store,JAC,FRESH BAGELS FARMERS MARKET INC,AMISH MARKET,240,E 45TH ST,10017,13000,240 E 45TH ST
626193,Store,JAC,SYUKAKU INC,AMISH MARKET,240,E 45TH ST,10017,300,240 E 45TH ST
710634,Store,JAC,LEDESMA AMARILIS A,AMOR DELI GROCERY,21,CONVENT AVE,10027,600,21 CONVENT AVE
625386,Store,JAC,9TH AVE DELI&GROCERY INC,AM/PM DELI,480,9TH AVE,10018,2500,480 9TH AVE
731496,Store,JAC,AM&PM DELI AND GROCERY CORP,AM&PM DELI AND GROCERY,197,MADISON ST,10002,1000,197 MADISON ST
729155,Store,JAC,AMSTERDAM AVENUE EXPRESS SHOP INC,AMSTERDAM AVENUE EXPRES,1463,AMSTERDAM AVE,10027,0,1463 AMSTERDAM AVE
733940,Store,JAC,AMSTERDAM FIVE STARS GROCERY CORP,AMSTERDAM FIVE STARS GR,469,W 157TH STREET,10032,2200,469 W 157TH STREET
719384,Store,JAC,ZUNIGA LUIS ENRIQUE&SUQUINAGUA CA,AMSTERDAM FRESH STORE,1701,AMSTERDAM AVE STORE #4C,10031,0,1701 AMSTERDAM AVE
717176,Store,JAC,SUBABA LLC,AMSTERDAM GROCERY,2566,AMSTERDAM AVE,10040,800,2566 AMSTERDAM AVE
620484,Store,JAC,GONZALEZ DEWEL,ANABELLE DELI GROCERY,2121,2ND AVE,10029,1800,2121 2ND AVE
732875,Store,JAC,JUDE NY INC,ANAN GOURMET DELI,2391,FREDERICK DOUGLASS BLVD,10027,3000,2391 FREDERICK DOUGLASS BLVD
627826,Store,JAC,ANB DELI INC,ANB DELI,142,9TH AVE,10011,2800,142 9TH AVE
719428,Store,JAC,ANDREAS PROTEIN CAKERY INC,ANDREAS PROTEIN CAKERY,336,E 59TH ST,10022,500,336 E 59TH ST
624162,Store,JAC,ANDYS 418 COLUMBUS AVE DELI INC,ANDYS 418 CLMBS AVE DEL,418,COLUMBUS AVE,10024,1200,418 COLUMBUS AVE
625923,Store,JAC,270 MARKET INC,ANDYS DELI,270,W 47TH ST,10036,800,270 W 47TH ST
620375,Store,JAC,C&N GROCERY STORE INC,ANDYS DELI,295,AMSTERDAM AVE,10023,1200,295 AMSTERDAM AVE
622868,Store,JAC,GNB DELI INC,ANDYS DELI,106,7TH AVE S,10014,1000,106 7TH AVE S
732919,Store,JAC,ANGELES GROCERY CORP,ANGELES GROCERY,1626,PARK AVENUE,10029,2000,1626 PARK AVENUE
627205,Store,JAC,C&P FOOD CORP,ANITAS DELI&GROCERY,180,LEXINGTON AVE,10016,1500,180 LEXINGTON AVE
626856,Store,A,A&N NEWS INC,A&N NEWS,221,W 28TH ST,10001,210,221 W 28TH ST
629125,Store,JAC,ANNIES FRUIT&VEGETABLE STORE INC,ANNIES FRUIT&VEGETABLE,1330,LEXINGTON AVE,10128,2000,1330 LEXINGTON AVE
724363,Store,JAC,ANS SEAFOOD CORP,ANS SEAFOOD @ FOOD EMPO,1175,3RD AVENUE,10065,85,1175 3RD AVENUE
